loss,crf_viterbi_accuracy,val_loss,val_crf_viterbi_accuracy
12.428997993469238,0.6446759104728699,6.935718059539795,0.7523148059844971
6.29802131652832,0.7581019401550293,6.351154327392578,0.7824074029922485
5.354781150817871,0.7719907164573669,5.503817081451416,0.7875000238418579
4.723630905151367,0.7943673133850098,5.115921974182129,0.7949074506759644
4.27348518371582,0.8121142387390137,4.845775604248047,0.8342593312263489
3.9077048301696777,0.8391203880310059,4.618778228759766,0.8481481671333313
3.698883533477783,0.8422068953514099,4.444175720214844,0.8462961912155151
3.4648780822753906,0.8595678806304932,4.654356002807617,0.8615740537643433
3.2465014457702637,0.8630400896072388,4.259868621826172,0.8675926327705383
2.993485927581787,0.8773148059844971,4.304521083831787,0.8740741014480591
2.837019681930542,0.8846450448036194,4.176637649536133,0.8837963342666626
2.6424193382263184,0.9008486866950989,4.169946670532227,0.8810185194015503
2.5190696716308594,0.9008486866950989,4.131038188934326,0.8879629969596863
2.3921844959259033,0.9070216417312622,4.194487571716309,0.8745369911193848
2.282073974609375,0.9089505672454834,4.079827785491943,0.8884259462356567
2.0478107929229736,0.91628098487854,4.194324970245361,0.9004629850387573
1.9016553163528442,0.9228395819664001,4.195570468902588,0.8939814567565918
1.7502107620239258,0.9336419701576233,4.225147724151611,0.9060185551643372
1.7980732917785645,0.9286265969276428,4.408620357513428,0.9004629850387573
1.6466686725616455,0.9351851344108582,4.529010772705078,0.9004629850387573
